group	CellType	NEURONAL/NON-NEURONAL
326_ProS	ProS	Neuronal
189_L4/5 IT CTX	L4/5 IT CTX	Neuronal
371_Oligo	Oligo	Non-Neuronal
246_L5 PT CTX	L5 PT CTX	Neuronal
283_L6 CT CTX	L6 CT CTX	Neuronal
352_CA3-ve	CA3-ve	Neuronal
378_Astro	Astro	Non-Neuronal
68_Sst	Sst	Neuronal
60_Vip Igfbp6	Vip Igfbp6	Neuronal
159_L2/3 IT AI	L2/3 IT AI	Neuronal
176_IT HATA	IT HATA	Neuronal
2_Meis2	Meis2	Neuronal
337_CA1	CA1	Neuronal
140_L3 IT ENTl	L3 IT ENTl	Neuronal
173_L2/3 IT ProS	L2/3 IT ProS	Neuronal
304_L6b CTX	L6b CTX	Neuronal
41_Vip	Vip	Neuronal
103_Sst HPF	Sst HPF	Neuronal
78_Sst HPF	Sst HPF	Neuronal
121_Pvalb	Pvalb	Neuronal
131_L2/3 IT POST-PRE	L2/3 IT POST-PRE	Neuronal
138_L3 IT ENTm	L3 IT ENTm	Neuronal
195_L5 IT RSP-ACA	L5 IT RSP-ACA	Neuronal
36_Sncg	Sncg	Neuronal
166_L2/3 IT CTX	L2/3 IT CTX	Neuronal
242_L5 PT CTX	L5 PT CTX	Neuronal
290_L6 CT CTX	L6 CT CTX	Neuronal
57_Vip Igfbp6	Vip Igfbp6	Neuronal
177_IT HATA	IT HATA	Neuronal
18_Lamp5	Lamp5	Neuronal
255_L5 PT CTX	L5 PT CTX	Neuronal
154_L2/3 IT ENTl	L2/3 IT ENTl	Neuronal
168_L2/3 IT CTX	L2/3 IT CTX	Neuronal
215_L5/6 IT TPE-ENT	L5/6 IT TPE-ENT	Neuronal
240_L5 PT CTX	L5 PT CTX	Neuronal
76_Sst	Sst	Neuronal
116_Pvalb	Pvalb	Neuronal
1_CR	CR	Neuronal
210_L5/6 IT TPE-ENT	L5/6 IT TPE-ENT	Neuronal
245_L5 PT CTX	L5 PT CTX	Neuronal
297_CT SUB	CT SUB	Neuronal
96_Sst	Sst	Neuronal
